%=SNX 2.02 ASU 18:074:83704 ASU 14:213:00000 14:244:00000 P 00437 2            2
*-------------------------------------------------------------------------------
+FILE/REFERENCE
*INFO_TYPE_________ INFO________________________________________________________
 DESCRIPTION        Swarm monthly gravity field
 CONTACT            ales.bezdek@asu.cas.cz
 SOFTWARE           ASU Decorrelated Acceleration Approach (gpest_10)
 INPUT              Swarm kinematic orbits
*Internal info:
* komb_multi_01_SW_2014_0801_NormMtx_nmax020 
* pg: sinex_asu_01c, 15-Mar-2018 23:15:03
-FILE/REFERENCE
*-------------------------------------------------------------------------------
+FILE/COMMENT
 modelname              ASU-Swarm-2014-08-nmax20-orbits-IFG
 earth_gravity_constant 3.986004415e+14
 radius                 6378136.3
 max_degree             20
 norm                   fully_normalized
 tide_system            tide_free
-FILE/COMMENT
*-------------------------------------------------------------------------------
+SOLUTION/STATISTICS
*____STATISTICAL_PARAMETER_____ _______VALUE(S)_______
 NUMBER OF OBSERVATIONS                       23440104
 NUMBER OF UNKNOWNS                                437
 WEIGHTED SQUARE SUM OF O-C           29635203.5899576
-SOLUTION/STATISTICS
*-------------------------------------------------------------------------------
+SOLUTION/ESTIMATE
*INDEX _TYPE_ CODE PT SOLN _REF_EPOCH__ UNIT S ___ESTIMATED_VALUE___ __STD_DEV__
    25 CN        5 --    2 14:228:43200 ---- 2  6.51950976918279e-07 1.22141e-11
    26 SN        5 --    2 14:228:43200 ---- 2 -3.23421413159447e-07 1.19055e-11
    27 CN        5 --    3 14:228:43200 ---- 2 -4.51773111556243e-07 1.06350e-11
    28 SN        5 --    3 14:228:43200 ---- 2 -2.14962969792761e-07 1.06209e-11
    29 CN        5 --    4 14:228:43200 ---- 2 -2.95332043947429e-07 1.18288e-11
    30 SN        5 --    4 14:228:43200 ---- 2  4.97958472252873e-08 1.17518e-11
    31 CN        5 --    5 14:228:43200 ---- 2  1.74857221248247e-07 1.21262e-11
    32 SN        5 --    5 14:228:43200 ---- 2 -6.69224017406717e-07 1.21117e-11
    33 CN        6 --    0 14:228:43200 ---- 2 -1.49943246604174e-07 1.14501e-11
    34 CN        6 --    1 14:228:43200 ---- 2 -7.58702265329716e-08 1.09135e-11
    35 SN        6 --    1 14:228:43200 ---- 2  2.64294959763186e-08 1.11292e-11
    36 CN        6 --    2 14:228:43200 ---- 2  4.86608255583858e-08 1.00704e-11
    37 SN        6 --    2 14:228:43200 ---- 2 -3.73720804569727e-07 1.00160e-11
    38 CN        6 --    3 14:228:43200 ---- 2  5.73877343580630e-08 1.09042e-11
    39 SN        6 --    3 14:228:43200 ---- 2  9.04525056911782e-09 1.08521e-11
    40 CN        6 --    4 14:228:43200 ---- 2 -8.59491363829227e-08 1.03235e-11
    41 SN        6 --    4 14:228:43200 ---- 2 -4.71455318868783e-07 1.03075e-11
    42 CN        6 --    5 14:228:43200 ---- 2 -2.67193158858545e-07 1.09392e-11
    43 SN        6 --    5 14:228:43200 ---- 2 -5.36414946769812e-07 1.09408e-11
    44 CN        6 --    6 14:228:43200 ---- 2  9.38212533998815e-09 1.13317e-11
    45 SN        6 --    6 14:228:43200 ---- 2 -2.37480572307034e-07 1.11483e-11
    46 CN        7 --    0 14:228:43200 ---- 2  9.04381329256877e-08 1.12532e-11
    47 CN        7 --    1 14:228:43200 ---- 2  2.80909082348401e-07 1.06722e-11
    48 SN        7 --    1 14:228:43200 ---- 2  9.52231235620789e-08 1.08677e-11
    49 CN        7 --    2 14:228:43200 ---- 2  3.30293015045751e-07 1.04767e-11
    50 SN        7 --    2 14:228:43200 ---- 2  9.31155313154443e-08 1.05228e-11
    51 CN        7 --    3 14:228:43200 ---- 2  2.50496403215318e-07 9.78144e-12
    52 SN        7 --    3 14:228:43200 ---- 2 -2.16986262707986e-07 9.76634e-12
    53 CN        7 --    4 14:228:43200 ---- 2 -2.74942528868565e-07 1.02769e-11
    54 SN        7 --    4 14:228:43200 ---- 2 -1.24092607443699e-07 1.03537e-11
    55 CN        7 --    5 14:228:43200 ---- 2  1.67328735677136e-09 1.02860e-11
    56 SN        7 --    5 14:228:43200 ---- 2  1.79160846277265e-08 1.02872e-11
    57 CN        7 --    6 14:228:43200 ---- 2 -3.58913643915908e-07 1.03244e-11
    58 SN        7 --    6 14:228:43200 ---- 2  1.51828575434479e-07 1.02374e-11
    59 CN        7 --    7 14:228:43200 ---- 2  1.51953223030660e-09 1.06881e-11
    60 SN        7 --    7 14:228:43200 ---- 2  2.40996340109825e-08 1.07038e-11
    61 CN        8 --    0 14:228:43200 ---- 2  4.94678055338064e-08 1.16052e-11
    62 CN        8 --    1 14:228:43200 ---- 2  2.30940809117824e-08 1.08635e-11
    63 SN        8 --    1 14:228:43200 ---- 2  5.88972114252925e-08 1.09810e-11
    64 CN        8 --    2 14:228:43200 ---- 2  7.99967627633617e-08 1.07752e-11
    65 SN        8 --    2 14:228:43200 ---- 2  6.53193638522803e-08 1.08299e-11
    66 CN        8 --    3 14:228:43200 ---- 2 -1.93628799264763e-08 1.01821e-11
    67 SN        8 --    3 14:228:43200 ---- 2 -8.59525911317010e-08 1.01703e-11
    68 CN        8 --    4 14:228:43200 ---- 2 -2.44285292409951e-07 9.62697e-12
    69 SN        8 --    4 14:228:43200 ---- 2  6.98755715108997e-08 9.71577e-12
    70 CN        8 --    5 14:228:43200 ---- 2 -2.56670164679274e-08 1.02440e-11
    71 SN        8 --    5 14:228:43200 ---- 2  8.92417531682241e-08 1.02367e-11
    72 CN        8 --    6 14:228:43200 ---- 2 -6.59538144737037e-08 1.03456e-11
    73 SN        8 --    6 14:228:43200 ---- 2  3.08937092025692e-07 1.03173e-11
    74 CN        8 --    7 14:228:43200 ---- 2  6.73266444996908e-08 9.75583e-12
    75 SN        8 --    7 14:228:43200 ---- 2  7.48133909233287e-08 9.78050e-12
    76 CN        8 --    8 14:228:43200 ---- 2 -1.23981001959414e-07 1.04117e-11
    77 SN        8 --    8 14:228:43200 ---- 2  1.20567341994585e-07 1.03722e-11
    78 CN        9 --    0 14:228:43200 ---- 2  2.81223442520398e-08 1.13228e-11
    79 CN        9 --    1 14:228:43200 ---- 2  1.42053856919762e-07 1.15905e-11
    80 SN        9 --    1 14:228:43200 ---- 2  2.14761846309041e-08 1.16965e-11
    81 CN        9 --    2 14:228:43200 ---- 2  2.13793030156435e-08 1.10597e-11
    82 SN        9 --    2 14:228:43200 ---- 2 -3.16891848521978e-08 1.11802e-11
    83 CN        9 --    3 14:228:43200 ---- 2 -1.60616769640393e-07 1.10043e-11
    84 SN        9 --    3 14:228:43200 ---- 2 -7.42089087810440e-08 1.09988e-11
    85 CN        9 --    4 14:228:43200 ---- 2 -9.27574301390775e-09 1.00371e-11
    86 SN        9 --    4 14:228:43200 ---- 2  2.00006067168867e-08 1.01074e-11
    87 CN        9 --    5 14:228:43200 ---- 2 -1.63477268782509e-08 9.90951e-12
    88 SN        9 --    5 14:228:43200 ---- 2 -5.41048137262171e-08 9.88899e-12
    89 CN        9 --    6 14:228:43200 ---- 2  6.27810415338385e-08 1.04798e-11
    90 SN        9 --    6 14:228:43200 ---- 2  2.22948096590018e-07 1.03817e-11
    91 CN        9 --    7 14:228:43200 ---- 2 -1.17943392643970e-07 1.03849e-11
    92 SN        9 --    7 14:228:43200 ---- 2 -9.68498881299047e-08 1.03809e-11
    93 CN        9 --    8 14:228:43200 ---- 2  1.88151014733137e-07 9.40470e-12
    94 SN        9 --    8 14:228:43200 ---- 2 -2.92411358360777e-09 9.36322e-12
    95 CN        9 --    9 14:228:43200 ---- 2 -4.75863576514302e-08 1.02263e-11
    96 SN        9 --    9 14:228:43200 ---- 2  9.68490704496948e-08 1.02546e-11
    97 CN       10 --    0 14:228:43200 ---- 2  5.31999433900978e-08 1.28042e-11
    98 CN       10 --    1 14:228:43200 ---- 2  8.37204136600146e-08 1.21922e-11
    99 SN       10 --    1 14:228:43200 ---- 2 -1.31070181945044e-07 1.22723e-11
   100 CN       10 --    2 14:228:43200 ---- 2 -9.39383911345607e-08 1.27095e-11
   101 SN       10 --    2 14:228:43200 ---- 2 -5.13533782788330e-08 1.27476e-11
   102 CN       10 --    3 14:228:43200 ---- 2 -7.03164213324969e-09 1.14397e-11
   103 SN       10 --    3 14:228:43200 ---- 2 -1.54121793873374e-07 1.14338e-11
   104 CN       10 --    4 14:228:43200 ---- 2 -8.44677441057060e-08 1.14013e-11
   105 SN       10 --    4 14:228:43200 ---- 2 -7.89974270132716e-08 1.14638e-11
   106 CN       10 --    5 14:228:43200 ---- 2 -4.92001048377298e-08 1.01829e-11
   107 SN       10 --    5 14:228:43200 ---- 2 -5.07119098330568e-08 1.01948e-11
   108 CN       10 --    6 14:228:43200 ---- 2 -3.75579102596707e-08 1.04101e-11
   109 SN       10 --    6 14:228:43200 ---- 2 -7.98210811379368e-08 1.03874e-11
   110 CN       10 --    7 14:228:43200 ---- 2  8.32734737533017e-09 1.07185e-11
   111 SN       10 --    7 14:228:43200 ---- 2 -3.01872757583561e-09 1.07299e-11
   112 CN       10 --    8 14:228:43200 ---- 2  4.05859850069413e-08 1.04389e-11
   113 SN       10 --    8 14:228:43200 ---- 2 -9.16790427280419e-08 1.04553e-11
   114 CN       10 --    9 14:228:43200 ---- 2  1.25400045014581e-07 9.10701e-12
   115 SN       10 --    9 14:228:43200 ---- 2 -3.79541992410698e-08 9.12702e-12
   116 CN       10 --   10 14:228:43200 ---- 2  1.00399107053948e-07 1.02757e-11
   117 SN       10 --   10 14:228:43200 ---- 2 -2.38635808152757e-08 1.01765e-11
   118 CN       11 --    0 14:228:43200 ---- 2 -5.08129494239848e-08 1.37648e-11
   119 CN       11 --    1 14:228:43200 ---- 2  1.57449023588341e-08 1.35841e-11
   120 SN       11 --    1 14:228:43200 ---- 2 -2.72523120677940e-08 1.36773e-11
   121 CN       11 --    2 14:228:43200 ---- 2  2.02454823001123e-08 1.37438e-11
   122 SN       11 --    2 14:228:43200 ---- 2 -9.89830349912724e-08 1.38762e-11
   123 CN       11 --    3 14:228:43200 ---- 2 -3.05523064720305e-08 1.32893e-11
   124 SN       11 --    3 14:228:43200 ---- 2 -1.48843049034226e-07 1.32854e-11
   125 CN       11 --    4 14:228:43200 ---- 2 -3.78201839398993e-08 1.19873e-11
   126 SN       11 --    4 14:228:43200 ---- 2 -6.38292901623647e-08 1.20054e-11
   127 CN       11 --    5 14:228:43200 ---- 2  3.74249623140399e-08 1.19413e-11
   128 SN       11 --    5 14:228:43200 ---- 2  4.95710370988825e-08 1.19206e-11
   129 CN       11 --    6 14:228:43200 ---- 2 -1.49068237137039e-09 1.05709e-11
   130 SN       11 --    6 14:228:43200 ---- 2  3.42774281427756e-08 1.04558e-11
   131 CN       11 --    7 14:228:43200 ---- 2  4.63858554301526e-09 1.10337e-11
   132 SN       11 --    7 14:228:43200 ---- 2 -8.98846224748320e-08 1.10355e-11
   133 CN       11 --    8 14:228:43200 ---- 2 -6.27236034147263e-09 1.10254e-11
   134 SN       11 --    8 14:228:43200 ---- 2  2.46246616813857e-08 1.10176e-11
   135 CN       11 --    9 14:228:43200 ---- 2 -3.10725553612344e-08 1.05186e-11
   136 SN       11 --    9 14:228:43200 ---- 2  4.20208271654709e-08 1.05355e-11
   137 CN       11 --   10 14:228:43200 ---- 2 -5.22762712280452e-08 8.98427e-12
   138 SN       11 --   10 14:228:43200 ---- 2 -1.83866681596664e-08 8.91358e-12
   139 CN       11 --   11 14:228:43200 ---- 2  4.62198843351024e-08 1.02826e-11
   140 SN       11 --   11 14:228:43200 ---- 2 -6.97184894599802e-08 1.02875e-11
   141 CN       12 --    0 14:228:43200 ---- 2  3.64068539725235e-08 1.65483e-11
   142 CN       12 --    1 14:228:43200 ---- 2 -5.35771507871535e-08 1.60169e-11
   143 SN       12 --    1 14:228:43200 ---- 2 -4.31118356110548e-08 1.62204e-11
   144 CN       12 --    2 14:228:43200 ---- 2  1.42660630311517e-08 1.55845e-11
   145 SN       12 --    2 14:228:43200 ---- 2  3.10382871295616e-08 1.57301e-11
   146 CN       12 --    3 14:228:43200 ---- 2  3.97806718780099e-08 1.49655e-11
   147 SN       12 --    3 14:228:43200 ---- 2  2.50378249872663e-08 1.49419e-11
   148 CN       12 --    4 14:228:43200 ---- 2 -6.77726889610131e-08 1.38458e-11
   149 SN       12 --    4 14:228:43200 ---- 2  3.94732189587968e-09 1.39144e-11
   150 CN       12 --    5 14:228:43200 ---- 2  3.08468665113265e-08 1.28504e-11
   151 SN       12 --    5 14:228:43200 ---- 2  7.58120386976212e-09 1.28564e-11
   152 CN       12 --    6 14:228:43200 ---- 2  3.17578789123922e-09 1.25629e-11
   153 SN       12 --    6 14:228:43200 ---- 2  3.90042034491099e-08 1.24538e-11
   154 CN       12 --    7 14:228:43200 ---- 2 -1.90813282636395e-08 1.10831e-11
   155 SN       12 --    7 14:228:43200 ---- 2  3.56910957948671e-08 1.10962e-11
   156 CN       12 --    8 14:228:43200 ---- 2 -2.58666284002788e-08 1.17896e-11
   157 SN       12 --    8 14:228:43200 ---- 2  1.69135499905375e-08 1.17978e-11
   158 CN       12 --    9 14:228:43200 ---- 2  4.18759475173963e-08 1.13486e-11
   159 SN       12 --    9 14:228:43200 ---- 2  2.49839927652133e-08 1.13661e-11
   160 CN       12 --   10 14:228:43200 ---- 2 -6.11470552766439e-09 1.06921e-11
   161 SN       12 --   10 14:228:43200 ---- 2  3.09535394670188e-08 1.05952e-11
   162 CN       12 --   11 14:228:43200 ---- 2  1.13516258086147e-08 8.87314e-12
   163 SN       12 --   11 14:228:43200 ---- 2 -6.36524110088986e-09 8.87694e-12
   164 CN       12 --   12 14:228:43200 ---- 2 -2.38976962171664e-09 1.04353e-11
   165 SN       12 --   12 14:228:43200 ---- 2 -1.10907992489903e-08 1.04427e-11
   166 CN       13 --    0 14:228:43200 ---- 2  4.16699489071607e-08 1.84771e-11
   167 CN       13 --    1 14:228:43200 ---- 2 -5.13842670620497e-08 1.80585e-11
   168 SN       13 --    1 14:228:43200 ---- 2  3.86869369139659e-08 1.83334e-11
   169 CN       13 --    2 14:228:43200 ---- 2  5.53812277544125e-08 1.75991e-11
   170 SN       13 --    2 14:228:43200 ---- 2 -6.27446291919015e-08 1.77117e-11
   171 CN       13 --    3 14:228:43200 ---- 2 -2.15524261092315e-08 1.69487e-11
   172 SN       13 --    3 14:228:43200 ---- 2  9.76630749672210e-08 1.69061e-11
   173 CN       13 --    4 14:228:43200 ---- 2 -3.61198091570042e-09 1.58632e-11
   174 SN       13 --    4 14:228:43200 ---- 2 -1.17118979595377e-08 1.59596e-11
   175 CN       13 --    5 14:228:43200 ---- 2  5.84125842457345e-08 1.46594e-11
   176 SN       13 --    5 14:228:43200 ---- 2  6.71578298999200e-08 1.46495e-11
   177 CN       13 --    6 14:228:43200 ---- 2 -3.51921058614777e-08 1.38656e-11
   178 SN       13 --    6 14:228:43200 ---- 2 -6.32871873324881e-09 1.37852e-11
   179 CN       13 --    7 14:228:43200 ---- 2  2.99688284612994e-09 1.30913e-11
   180 SN       13 --    7 14:228:43200 ---- 2 -7.30006053598410e-09 1.30986e-11
   181 CN       13 --    8 14:228:43200 ---- 2 -1.00771867060608e-08 1.17810e-11
   182 SN       13 --    8 14:228:43200 ---- 2 -9.89187648693939e-09 1.18762e-11
   183 CN       13 --    9 14:228:43200 ---- 2  2.47456943442193e-08 1.24647e-11
   184 SN       13 --    9 14:228:43200 ---- 2  4.59526447477729e-08 1.24821e-11
   185 CN       13 --   10 14:228:43200 ---- 2  4.11640931741238e-08 1.15385e-11
   186 SN       13 --   10 14:228:43200 ---- 2 -3.68936092238226e-08 1.15011e-11
   187 CN       13 --   11 14:228:43200 ---- 2 -4.44950471255698e-08 1.06840e-11
   188 SN       13 --   11 14:228:43200 ---- 2 -4.76431531404168e-09 1.06852e-11
   189 CN       13 --   12 14:228:43200 ---- 2 -3.12996795258151e-08 8.86437e-12
   190 SN       13 --   12 14:228:43200 ---- 2  8.79179952309520e-08 8.85268e-12
   191 CN       13 --   13 14:228:43200 ---- 2 -6.12141003998993e-08 1.06059e-11
   192 SN       13 --   13 14:228:43200 ---- 2  6.81299541078938e-08 1.05825e-11
   193 CN       14 --    0 14:228:43200 ---- 2 -2.26360446944129e-08 2.07567e-11
   194 CN       14 --    1 14:228:43200 ---- 2 -1.87328557508342e-08 2.04447e-11
   195 SN       14 --    1 14:228:43200 ---- 2  2.88199452934481e-08 2.07628e-11
   196 CN       14 --    2 14:228:43200 ---- 2 -3.58756341770921e-08 1.98395e-11
   197 SN       14 --    2 14:228:43200 ---- 2 -3.88816447939769e-09 2.00229e-11
   198 CN       14 --    3 14:228:43200 ---- 2  3.65422380619006e-08 1.92353e-11
   199 SN       14 --    3 14:228:43200 ---- 2  1.97845046114000e-08 1.91905e-11
   200 CN       14 --    4 14:228:43200 ---- 2  1.66062701919430e-09 1.81723e-11
   201 SN       14 --    4 14:228:43200 ---- 2 -2.28014299134597e-08 1.82077e-11
   202 CN       14 --    5 14:228:43200 ---- 2  2.93041040618953e-08 1.68976e-11
   203 SN       14 --    5 14:228:43200 ---- 2 -1.68037341838818e-08 1.68938e-11
   204 CN       14 --    6 14:228:43200 ---- 2 -1.92150502792094e-08 1.57503e-11
   205 SN       14 --    6 14:228:43200 ---- 2  2.54839448308030e-09 1.56172e-11
   206 CN       14 --    7 14:228:43200 ---- 2  3.75564826496546e-08 1.48583e-11
   207 SN       14 --    7 14:228:43200 ---- 2 -3.91663419219235e-09 1.48925e-11
   208 CN       14 --    8 14:228:43200 ---- 2 -3.49589579557687e-08 1.37897e-11
   209 SN       14 --    8 14:228:43200 ---- 2 -1.53936354790828e-08 1.38672e-11
   210 CN       14 --    9 14:228:43200 ---- 2  3.19557732062677e-08 1.27736e-11
   211 SN       14 --    9 14:228:43200 ---- 2  2.85285711822344e-08 1.27739e-11
   212 CN       14 --   10 14:228:43200 ---- 2  3.87774885382288e-08 1.32824e-11
   213 SN       14 --   10 14:228:43200 ---- 2 -1.26730750160480e-09 1.32267e-11
   214 CN       14 --   11 14:228:43200 ---- 2  1.55824972594701e-08 1.18834e-11
   215 SN       14 --   11 14:228:43200 ---- 2 -3.90355023753270e-08 1.18776e-11
   216 CN       14 --   12 14:228:43200 ---- 2  8.50131552408912e-09 1.09235e-11
   217 SN       14 --   12 14:228:43200 ---- 2 -3.11221506933522e-08 1.09267e-11
   218 CN       14 --   13 14:228:43200 ---- 2  3.22402305999330e-08 8.95939e-12
   219 SN       14 --   13 14:228:43200 ---- 2  4.51494798669931e-08 8.93382e-12
   220 CN       14 --   14 14:228:43200 ---- 2 -5.18256646709206e-08 1.08969e-11
   221 SN       14 --   14 14:228:43200 ---- 2 -4.79063711993822e-09 1.08373e-11
   222 CN       15 --    0 14:228:43200 ---- 2  2.19026043858297e-09 2.34032e-11
   223 CN       15 --    1 14:228:43200 ---- 2  9.38092794448790e-09 2.26966e-11
   224 SN       15 --    1 14:228:43200 ---- 2  1.05341434035841e-08 2.29305e-11
   225 CN       15 --    2 14:228:43200 ---- 2 -2.05458557888916e-08 2.23155e-11
   226 SN       15 --    2 14:228:43200 ---- 2 -3.01985006143227e-08 2.26147e-11
   227 CN       15 --    3 14:228:43200 ---- 2  5.33782539415775e-08 2.16519e-11
   228 SN       15 --    3 14:228:43200 ---- 2  1.75500991660524e-08 2.15978e-11
   229 CN       15 --    4 14:228:43200 ---- 2 -4.02809310171469e-08 2.06705e-11
   230 SN       15 --    4 14:228:43200 ---- 2  6.80269587977417e-09 2.06901e-11
   231 CN       15 --    5 14:228:43200 ---- 2  1.23246833885053e-08 1.95046e-11
   232 SN       15 --    5 14:228:43200 ---- 2  7.66175619330199e-09 1.94760e-11
   233 CN       15 --    6 14:228:43200 ---- 2  3.27540360975361e-08 1.80863e-11
   234 SN       15 --    6 14:228:43200 ---- 2 -3.65521518831928e-08 1.79324e-11
   235 CN       15 --    7 14:228:43200 ---- 2  5.96849004055823e-08 1.69070e-11
   236 SN       15 --    7 14:228:43200 ---- 2  5.05703799850373e-09 1.69300e-11
   237 CN       15 --    8 14:228:43200 ---- 2 -3.20881510893220e-08 1.59159e-11
   238 SN       15 --    8 14:228:43200 ---- 2  2.21933247046216e-08 1.59566e-11
   239 CN       15 --    9 14:228:43200 ---- 2  1.33917334715061e-08 1.46966e-11
   240 SN       15 --    9 14:228:43200 ---- 2  3.80267902007151e-08 1.46871e-11
   241 CN       15 --   10 14:228:43200 ---- 2  1.02733857210685e-08 1.38484e-11
   242 SN       15 --   10 14:228:43200 ---- 2  1.46662032961413e-08 1.37846e-11
   243 CN       15 --   11 14:228:43200 ---- 2 -1.28400202232406e-09 1.40322e-11
   244 SN       15 --   11 14:228:43200 ---- 2  1.84784604324542e-08 1.40262e-11
   245 CN       15 --   12 14:228:43200 ---- 2 -3.25343559678284e-08 1.21853e-11
   246 SN       15 --   12 14:228:43200 ---- 2  1.56518989575869e-08 1.21893e-11
   247 CN       15 --   13 14:228:43200 ---- 2 -2.83839881377300e-08 1.09908e-11
   248 SN       15 --   13 14:228:43200 ---- 2 -4.52897820958399e-09 1.09733e-11
   249 CN       15 --   14 14:228:43200 ---- 2  5.17281218757331e-09 8.95679e-12
   250 SN       15 --   14 14:228:43200 ---- 2 -2.44184928882290e-08 9.01354e-12
   251 CN       15 --   15 14:228:43200 ---- 2 -1.90013492962254e-08 1.11061e-11
   252 SN       15 --   15 14:228:43200 ---- 2 -4.63755174784594e-09 1.09388e-11
   253 CN       16 --    0 14:228:43200 ---- 2 -4.63746496455962e-09 2.61462e-11
   254 CN       16 --    1 14:228:43200 ---- 2  2.60218320425994e-08 2.56958e-11
   255 SN       16 --    1 14:228:43200 ---- 2  3.33632922434315e-08 2.59399e-11
   256 CN       16 --    2 14:228:43200 ---- 2 -2.43965398765508e-08 2.50309e-11
   257 SN       16 --    2 14:228:43200 ---- 2  2.80231359279851e-08 2.54128e-11
   258 CN       16 --    3 14:228:43200 ---- 2 -3.39805318285977e-08 2.44981e-11
   259 SN       16 --    3 14:228:43200 ---- 2 -2.13208941096001e-08 2.44359e-11
   260 CN       16 --    4 14:228:43200 ---- 2  4.08612917204322e-08 2.34899e-11
   261 SN       16 --    4 14:228:43200 ---- 2  4.79472817955633e-08 2.35590e-11
   262 CN       16 --    5 14:228:43200 ---- 2 -1.21266518132743e-08 2.22084e-11
   263 SN       16 --    5 14:228:43200 ---- 2 -3.38394980268282e-09 2.22104e-11
   264 CN       16 --    6 14:228:43200 ---- 2  1.38861342926083e-08 2.09929e-11
   265 SN       16 --    6 14:228:43200 ---- 2 -3.56645795792153e-08 2.08015e-11
   266 CN       16 --    7 14:228:43200 ---- 2 -8.12593035812268e-09 1.92888e-11
   267 SN       16 --    7 14:228:43200 ---- 2 -8.67506330410878e-09 1.93262e-11
   268 CN       16 --    8 14:228:43200 ---- 2 -2.12467786771061e-08 1.82750e-11
   269 SN       16 --    8 14:228:43200 ---- 2  5.39808888065139e-09 1.83658e-11
   270 CN       16 --    9 14:228:43200 ---- 2 -2.24575561018699e-08 1.70632e-11
   271 SN       16 --    9 14:228:43200 ---- 2 -3.96867452338251e-08 1.70620e-11
   272 CN       16 --   10 14:228:43200 ---- 2 -1.17543303072663e-08 1.57691e-11
   273 SN       16 --   10 14:228:43200 ---- 2  1.15452697853077e-08 1.56958e-11
   274 CN       16 --   11 14:228:43200 ---- 2  1.91941774993021e-08 1.49724e-11
   275 SN       16 --   11 14:228:43200 ---- 2 -3.19769536574620e-09 1.49589e-11
   276 CN       16 --   12 14:228:43200 ---- 2  1.94343288194701e-08 1.47955e-11
   277 SN       16 --   12 14:228:43200 ---- 2  6.77546619952094e-09 1.48217e-11
   278 CN       16 --   13 14:228:43200 ---- 2  1.38108327710701e-08 1.25974e-11
   279 SN       16 --   13 14:228:43200 ---- 2  1.12579760664135e-09 1.25881e-11
   280 CN       16 --   14 14:228:43200 ---- 2 -1.93878656627906e-08 1.13424e-11
   281 SN       16 --   14 14:228:43200 ---- 2 -3.86485115875456e-08 1.13398e-11
   282 CN       16 --   15 14:228:43200 ---- 2 -1.44136384705773e-08 9.15066e-12
   283 SN       16 --   15 14:228:43200 ---- 2 -3.27688881337142e-08 9.28646e-12
   284 CN       16 --   16 14:228:43200 ---- 2 -3.83245170852855e-08 1.14145e-11
   285 SN       16 --   16 14:228:43200 ---- 2  3.04158750072780e-09 1.13919e-11
